"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,    "relrms[P]"   ,    "relrms[U]"   ,    "relrms[V]"   ,    "relrms[W]"   
           0,      -11.87325536,               -32,               -32,              -inf,                 0,                 0,                 0,               nan
           1,      -12.18234377,      -9.958533354,      -9.958953056,      -12.86121574,                 0,                 0,                 0,                 0
           2,      -11.98884492,      -11.53353709,       -11.5343927,      -11.87745308,                 0,      -1.575003736,      -1.575439645,                 0
           3,      -11.29983621,      -11.89475546,      -11.89279117,      -12.41209971,                 0,      -1.936222108,      -1.933838118,     -0.5346466292
           4,      -11.49778729,      -12.16890926,       -12.1672637,      -12.34245079,      -0.197951078,      -2.210375902,      -2.208310645,     -0.4649977135
           5,      -11.55497803,      -12.20172918,      -12.20045725,      -12.49134378,     -0.2551418132,      -2.243195822,      -2.241504197,     -0.6138907038
           6,      -11.67968434,      -12.25833621,      -12.25795605,      -12.59776002,     -0.3798481249,      -2.299802858,      -2.299002998,     -0.7203069432
           7,      -11.88921491,      -12.36286396,      -12.36403883,      -12.74718504,     -0.5893786936,      -2.404330605,      -2.405085776,     -0.8697319591
           8,      -12.06521552,      -12.52568677,      -12.52787268,       -12.8112486,     -0.7653793012,      -2.567153415,      -2.568919621,     -0.9337955204
           9,      -12.25146325,      -12.69458471,      -12.69553077,      -12.81525529,     -0.9516270354,      -2.736051354,      -2.736577718,     -0.9378022166
          10,      -12.37250463,      -12.72186483,      -12.72289082,      -12.97351625,      -1.072668419,      -2.763331473,       -2.76393776,      -1.096063176
          11,      -12.49501307,      -12.76897548,      -12.76974903,      -13.08654868,      -1.195176853,      -2.810442124,      -2.810795973,      -1.209095601
          12,      -12.62316816,      -12.84795179,      -12.84811675,      -13.08322224,      -1.323331945,      -2.889418439,       -2.88916369,      -1.205769165
          13,      -12.78370815,      -12.94832686,       -12.9479878,      -13.05505311,      -1.483871939,      -2.989793506,      -2.989034746,      -1.177600031
          14,      -12.85959311,      -12.96614824,      -12.96578444,      -13.18834683,      -1.559756897,      -3.007614883,      -3.006831383,      -1.310893753
          15,      -12.93534013,      -13.00020834,      -12.99977967,      -13.30627485,       -1.63550392,      -3.041674991,      -3.040826616,      -1.428821776
          16,      -13.02544694,      -13.06292455,      -13.06242733,      -13.32158806,      -1.725610721,      -3.104391193,       -3.10347427,       -1.44413498
          17,      -13.14127194,       -13.1522461,      -13.15177203,      -13.28264551,      -1.841435729,      -3.193712743,      -3.192818976,      -1.405192429
          18,      -13.26367834,      -13.24913901,      -13.24875725,      -13.27637865,      -1.963842122,      -3.290605654,      -3.289804191,      -1.398925575
          19,      -13.30207489,      -13.27576363,      -13.27537485,      -13.43561011,      -2.002238678,       -3.31723028,      -3.316421793,      -1.558157038
          20,      -13.33142609,      -13.32231297,      -13.32192556,      -13.55264762,      -2.031589877,      -3.363779621,      -3.362972501,      -1.675194539
          21,      -13.37922282,      -13.39670689,      -13.39632448,      -13.56296702,      -2.079386602,      -3.438173541,      -3.437371422,      -1.685513945
          22,       -13.4492077,      -13.48774934,      -13.48737976,      -13.54475415,      -2.149371485,      -3.529215984,      -3.528426707,      -1.667301073
          23,      -13.45841852,      -13.51008804,      -13.50971682,      -13.68965533,      -2.158582306,      -3.551554687,      -3.550763764,       -1.81220225
          24,      -13.46791139,      -13.55044397,      -13.55007055,      -13.80210074,      -2.168075179,      -3.591910614,      -3.591117498,      -1.924647662
