"Density","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.1,6.6887e-24,0,1004.7,0,1.716e-05,-0.0018131,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.1,-1.058e-19,8.6905e-27,0.20462,,0,0,-0.001,0.005
1,0.09981,-4.6131e-20,0,1004.7,0,1.716e-05,-0.0018124,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099984,-8.2308e-08,6.7603e-15,0.20423,,1e-07,0,-0.0010001,0.005
1,0.09962,-9.2084e-20,0,1004.7,0,1.716e-05,-0.0018116,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099968,-1.6462e-07,1.3521e-14,0.20384,,2e-07,0,-0.0010002,0.005
1,0.09943,-1.3785e-19,0,1004.7,0,1.716e-05,-0.0018109,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099952,-2.4692e-07,2.0281e-14,0.20346,,3e-07,0,-0.0010003,0.005
1,0.09924,-1.8344e-19,0,1004.7,0,1.716e-05,-0.0018101,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099936,-3.2923e-07,2.7041e-14,0.20307,,4e-07,0,-0.0010004,0.005
1,0.09905,-2.2883e-19,0,1004.7,0,1.716e-05,-0.0018093,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.09992,-4.1154e-07,3.3802e-14,0.20268,,5e-07,0,-0.0010005,0.005
1,0.09886,-2.7405e-19,0,1004.7,0,1.716e-05,-0.0018086,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099904,-4.9385e-07,4.0562e-14,0.20229,,6e-07,0,-0.0010006,0.005
1,0.09867,-3.1908e-19,0,1004.7,0,1.716e-05,-0.0018078,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099888,-5.7616e-07,4.7322e-14,0.2019,,7.0001e-07,0,-0.0010007,0.005
1,0.09848,-3.6392e-19,0,1004.7,0,1.716e-05,-0.0018071,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099872,-6.5847e-07,5.4083e-14,0.20151,,8.0001e-07,0,-0.0010008,0.005
1,0.09829,-4.0858e-19,0,1004.7,0,1.716e-05,-0.0018063,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099856,-7.4077e-07,6.0843e-14,0.20112,,9.0001e-07,0,-0.0010009,0.005
1,0.0981,-4.5306e-19,0,1004.7,0,1.716e-05,-0.0018056,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.09984,-8.2308e-07,6.7603e-14,0.20073,,1e-06,0,-0.001001,0.005
1,0.09791,-4.9735e-19,0,1004.7,0,1.716e-05,-0.0018048,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099824,-9.0539e-07,7.4364e-14,0.20035,,1.1e-06,0,-0.0010011,0.005
1,0.09772,-5.4146e-19,0,1004.7,0,1.716e-05,-0.001804,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099808,-9.877e-07,8.1124e-14,0.19996,,1.2e-06,0,-0.0010012,0.005
1,0.09753,-5.8538e-19,0,1004.7,0,1.716e-05,-0.0018033,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099792,-1.07e-06,8.7884e-14,0.19957,,1.3e-06,0,-0.0010013,0.005
1,0.09734,-6.2912e-19,0,1004.7,0,1.716e-05,-0.0018025,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099776,-1.1523e-06,9.4645e-14,0.19918,,1.4e-06,0,-0.0010014,0.005
1,0.09715,-6.7268e-19,0,1004.7,0,1.716e-05,-0.0018018,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099759,-1.2346e-06,1.014e-13,0.19879,,1.5e-06,0,-0.0010015,0.005
1,0.09696,-7.1605e-19,0,1004.7,0,1.716e-05,-0.001801,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099743,-1.3169e-06,1.0817e-13,0.1984,,1.6e-06,0,-0.0010016,0.005
1,0.09677,-7.5923e-19,0,1004.7,0,1.716e-05,-0.0018003,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099727,-1.3992e-06,1.1493e-13,0.19801,,1.7e-06,0,-0.0010017,0.005
1,0.09658,-8.0224e-19,0,1004.7,0,1.716e-05,-0.0017995,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099711,-1.4815e-06,1.2169e-13,0.19762,,1.8e-06,0,-0.0010018,0.005
1,0.09639,-8.4505e-19,0,1004.7,0,1.716e-05,-0.0017988,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099695,-1.5639e-06,1.2845e-13,0.19723,,1.9e-06,0,-0.0010019,0.005
1,0.0962,-8.8769e-19,0,1004.7,0,1.716e-05,-0.001798,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099679,-1.6462e-06,1.3521e-13,0.19685,,2e-06,0,-0.001002,0.005
1,0.09601,-9.3014e-19,0,1004.7,0,1.716e-05,-0.0017972,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099663,-1.7285e-06,1.4197e-13,0.19646,,2.1e-06,0,-0.0010021,0.005
1,0.09582,-9.7241e-19,0,1004.7,0,1.716e-05,-0.0017965,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099647,-1.8108e-06,1.4873e-13,0.19607,,2.2e-06,0,-0.0010022,0.005
1,0.09563,-1.0145e-18,0,1004.7,0,1.716e-05,-0.0017957,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099631,-1.8931e-06,1.5549e-13,0.19568,,2.3e-06,0,-0.0010023,0.005
1,0.09544,-1.0564e-18,0,1004.7,0,1.716e-05,-0.001795,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099615,-1.9754e-06,1.6225e-13,0.19529,,2.4e-06,0,-0.0010024,0.005
1,0.09525,-1.0981e-18,0,1004.7,0,1.716e-05,-0.0017942,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099599,-2.0577e-06,1.6901e-13,0.1949,,2.5e-06,0,-0.0010025,0.005
1,0.09506,-1.1396e-18,0,1004.7,0,1.716e-05,-0.0017935,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099583,-2.14e-06,1.7577e-13,0.19451,,2.6e-06,0,-0.0010026,0.005
1,0.09487,-1.181e-18,0,1004.7,0,1.716e-05,-0.0017927,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099567,-2.2223e-06,1.8253e-13,0.19412,,2.7e-06,0,-0.0010027,0.005
1,0.09468,-1.2222e-18,0,1004.7,0,1.716e-05,-0.0017919,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099551,-2.3046e-06,1.8929e-13,0.19374,,2.8e-06,0,-0.0010028,0.005
1,0.09449,-1.2631e-18,0,1004.7,0,1.716e-05,-0.0017912,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099535,-2.3869e-06,1.9605e-13,0.19335,,2.9e-06,0,-0.0010029,0.005
1,0.0943,-1.3039e-18,0,1004.7,0,1.716e-05,-0.0017904,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099519,-2.4692e-06,2.0281e-13,0.19296,,3e-06,0,-0.001003,0.005
1,0.09411,-1.3446e-18,0,1004.7,0,1.716e-05,-0.0017897,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099503,-2.5516e-06,2.0957e-13,0.19257,,3.1e-06,0,-0.0010031,0.005
1,0.09392,-1.385e-18,0,1004.7,0,1.716e-05,-0.0017889,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099487,-2.6339e-06,2.1633e-13,0.19218,,3.2e-06,0,-0.0010032,0.005
1,0.09373,-1.4252e-18,0,1004.7,0,1.716e-05,-0.0017882,-1e+38,-1e+38,-nan(ind),-nan(ind),0.023945,0.099471,-2.7162e-06,2.2309e-13,0.19179,,3.3e-06,0,-0.0010033,0.005
