"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     
          0,           0,           0,      -8.134090531,      -7.881636467,      -8.103351638,      -9.181311125
          0,           0,           1,      -8.282459308,      -8.055805635,      -8.341953714,      -8.589715408
          0,           0,           2,      -8.430271708,      -8.230497839,      -8.572790385,      -8.551238395
          0,           0,           3,      -8.592880015,      -8.426531685,      -8.799478588,      -8.666423236
          0,           0,           4,      -8.772482862,      -8.631364704,      -8.995238422,      -8.629803056
          0,           0,           5,      -8.968617765,      -8.815145674,      -9.128411272,      -8.594610242
          0,           0,           6,      -9.165020689,      -8.933190916,      -9.197018574,      -8.562791083
          0,           0,           7,       -9.27618298,      -8.981258326,      -9.234789152,      -8.532125222
          0,           0,           8,      -9.227790308,       -8.99529399,      -9.253730788,      -8.500219312
          0,           0,           9,      -9.152008463,        -9.0051793,      -9.259966583,      -8.455506976
          0,           0,          10,      -9.109434573,      -9.014956883,       -9.26053415,      -8.420820204
          0,           0,          11,      -9.095797461,      -9.032417547,      -9.268930758,      -8.398172763
          0,           0,          12,       -9.09960269,      -9.054506112,      -9.285204915,      -8.381611996
          0,           0,          13,      -9.114073508,      -9.079789711,       -9.30801087,      -8.370507191
          0,           0,          14,      -9.135032199,      -9.106712307,      -9.334724574,      -8.364332801
          0,           0,          15,      -9.160690202,      -9.134200266,      -9.363400372,      -8.363014104
          0,           0,          16,      -9.190584741,      -9.161105609,      -9.392179916,      -8.366314303
          0,           0,          17,      -9.224957404,      -9.188056141,      -9.421320302,      -8.374893351
          0,           0,          18,      -9.263656813,      -9.214515908,      -9.449934621,      -8.388437449
          0,           0,          19,      -9.306622413,      -9.240232786,        -9.4775073,      -8.404307127
          0,           0,          20,      -9.353132909,      -9.266093992,      -9.505007292,      -8.423629931
          0,           0,          21,      -9.402079225,      -9.289754339,      -9.529161708,      -8.445274437
          0,           0,          22,      -9.451995803,       -9.31262779,       -9.55204744,      -8.470470164
          0,           0,          23,      -9.500166652,      -9.332497123,      -9.571589807,      -8.496799123
          0,           0,          24,      -9.544596579,      -9.350519985,       -9.58985163,      -8.525485761
